country,payment_date,total_amount
Italy,11:31.0,5.99
Brazil,02:37.0,5.99
United States,59:45.0,5.99
China,21:18.0,5.99
Poland,57:42.0,5.99
India,20:53.0,5.99
Malaysia,34:24.0,5.99
China,40:54.0,5.99
Russian Federation,57:06.0,5.99
Peru,56:55.0,5.99
India,01:23.0,5.99
India,10:03.0,5.99
Kuwait,16:15.0,5.99
Liechtenstein,17:11.0,5.99
Taiwan,23:32.0,5.99
Puerto Rico,18:07.0,5.99
United States,47:02.0,5.99
United States,36:41.0,5.99
Russian Federation,16:18.0,5.99
Czech Republic,35:06.0,5.99
United States,28:08.0,5.99
Japan,54:33.0,5.99
Morocco,08:36.0,5.99
Chile,04:01.0,5.99
China,31:13.0,5.99
Mexico,33:00.0,5.99
Iran,44:25.0,5.99
Italy,02:25.0,5.99
India,42:13.0,5.99
United States,04:18.0,5.99
Canada,15:27.0,5.99
Chile,09:01.0,5.99
Brazil,02:33.0,5.99
Mexico,57:47.0,5.99
Myanmar,14:36.0,5.99
China,30:53.0,5.99
Brazil,36:11.0,5.99
United Kingdom,46:39.0,5.99
United Arab Emirates,24:32.0,5.99
Mexico,22:18.0,5.99
Mexico,07:04.0,5.99
Brazil,16:42.0,5.99
Iraq,35:01.0,5.99
India,13:48.0,5.99
China,50:12.0,5.99
Madagascar,46:32.0,5.99
Russian Federation,37:10.0,5.99
Iran,38:46.0,5.99
Argentina,56:29.0,5.99
Brazil,40:09.0,5.99
Zambia,37:00.0,5.99
India,35:37.0,5.99
Japan,15:43.0,5.99
Philippines,11:12.0,5.99
Malaysia,51:15.0,5.99
Netherlands,25:33.0,5.99
Yemen,56:07.0,5.99
Mexico,53:01.0,5.99
India,36:25.0,5.99
Italy,53:34.0,5.99
Hong Kong,31:49.0,5.99
Ecuador,25:55.0,5.99
United Kingdom,46:22.0,5.99
Venezuela,26:25.0,5.99
Sweden,43:44.0,5.99
China,52:39.0,5.99
Dominican Republic,50:55.0,5.99
South Africa,07:28.0,5.99
Yugoslavia,37:44.0,5.99
Moldova,02:05.0,5.99
Philippines,12:37.0,5.99
Canada,38:24.0,5.99
Poland,16:49.0,5.99
China,25:31.0,5.99
Canada,43:25.0,5.99
Vietnam,44:13.0,5.99
United States,37:22.0,5.99
United States,37:03.0,5.99
Russian Federation,36:47.0,5.99
United Kingdom,30:52.0,5.99
Puerto Rico,48:43.0,5.99
Russian Federation,37:53.0,5.99
India,50:36.0,5.99
Brazil,36:17.0,5.99
Netherlands,55:40.0,5.99
Nigeria,15:47.0,5.99
India,34:45.0,5.99
Canada,04:51.0,5.99
China,57:40.0,5.99
India,40:31.0,5.99
Russian Federation,53:02.0,5.99
Cameroon,46:34.0,5.99
Japan,00:33.0,5.99
Russian Federation,42:39.0,5.99
Greece,23:09.0,5.99
Brazil,37:44.0,5.99
Mexico,54:35.0,5.99
Sudan,18:35.0,5.99
Moldova,24:17.0,5.99
Saudi Arabia,05:04.0,5.99
Canada,39:13.0,5.99
Turkey,59:18.0,5.99
India,09:01.0,5.99
Colombia,19:45.0,5.99
Algeria,47:16.0,5.99
Mexico,48:00.0,5.99
Nigeria,44:30.0,5.99
United Arab Emirates,21:50.0,5.99
India,13:52.0,5.99
Canada,33:18.0,5.99
Taiwan,18:19.0,5.99
India,29:11.0,5.99
Taiwan,10:29.0,5.99
Poland,56:44.0,5.99
India,09:01.0,5.99
Angola,06:39.0,5.99
Japan,42:12.0,5.99
Brazil,44:18.0,5.99
Israel,42:52.0,5.99
United States,44:30.0,5.99
Philippines,03:40.0,5.99
South Africa,14:32.0,5.99
Mexico,56:53.0,5.99
Kenya,00:50.0,5.99
Argentina,52:24.0,5.99
India,58:08.0,5.99
Peru,11:09.0,5.99
Japan,24:57.0,5.99
Brazil,24:33.0,5.99
Turkey,53:50.0,5.99
Iran,27:56.0,5.99
India,38:45.0,5.99
Japan,40:00.0,5.99
Nigeria,38:06.0,5.99
India,17:15.0,5.99
Russian Federation,35:54.0,5.99
India,22:21.0,5.99
Egypt,49:34.0,5.99
Turkey,27:05.0,5.99
Brazil,51:50.0,5.99
Indonesia,42:45.0,5.99
United States,15:44.0,5.99
Mozambique,52:07.0,5.99
United States,06:41.0,5.99
Nigeria,36:51.0,5.99
South Africa,38:49.0,5.99
Vietnam,01:43.0,5.99
Philippines,41:26.0,5.99
Russian Federation,32:51.0,5.99
United States,55:18.0,5.99
South Africa,36:32.0,5.99
Dominican Republic,17:08.0,5.99
Nigeria,49:30.0,5.99
India,50:43.0,5.99
Romania,12:47.0,5.99
South Korea,37:55.0,5.99
Japan,08:05.0,5.99
United States,19:02.0,5.99
Italy,36:31.0,5.99
Russian Federation,26:39.0,5.99
India,03:12.0,5.99
Russian Federation,51:37.0,5.99
Mexico,24:45.0,5.99
"Congo, The Democratic Republic of the",03:44.0,5.99
Holy See (Vatican City State),21:41.0,5.99
China,10:21.0,5.99
United States,07:28.0,5.99
Malaysia,14:39.0,5.99
China,00:32.0,5.99
Canada,28:18.0,5.99
Turkey,44:59.0,5.99
India,00:59.0,5.99
United Kingdom,13:42.0,5.99
Iran,29:23.0,5.99
Japan,10:01.0,5.99
South Africa,40:57.0,5.99
Poland,18:56.0,5.99
Poland,40:25.0,5.99
Pakistan,49:05.0,5.99
China,51:58.0,5.99
China,41:34.0,5.99
Philippines,21:10.0,5.99
Turkey,20:20.0,5.99
Kuwait,23:34.0,5.99
Nigeria,48:42.0,5.99
Japan,22:39.0,5.99
India,25:53.0,5.99
Argentina,36:23.0,5.99
Puerto Rico,00:46.0,5.99
Afghanistan,14:33.0,5.99
Japan,06:48.0,5.99
Morocco,47:52.0,5.99
United States,34:58.0,5.99
"Virgin Islands, U.S.",45:57.0,5.99
United States,32:43.0,5.99
China,39:32.0,5.99
Italy,49:38.0,5.99
Pakistan,28:57.0,5.99
Algeria,06:15.0,5.99
Brazil,11:41.0,5.99
Indonesia,24:10.0,5.99
Japan,50:20.0,5.99
Russian Federation,15:53.0,5.99
Peru,50:58.0,5.99
"Congo, The Democratic Republic of the",21:06.0,5.99
India,20:57.0,5.99
India,54:46.0,5.99
Indonesia,34:28.0,5.99
China,00:45.0,5.99
France,54:58.0,5.99
Japan,09:57.0,5.99
Russian Federation,58:18.0,5.99
Colombia,31:13.0,5.99
Vietnam,58:18.0,5.99
Brazil,57:59.0,5.99
Japan,15:02.0,5.99
Brazil,45:34.0,5.99
Kuwait,27:51.0,5.99
Netherlands,31:58.0,5.99
Egypt,03:18.0,5.99
Brazil,30:45.0,5.99
Cameroon,39:05.0,5.99
United States,35:56.0,5.99
United Kingdom,20:45.0,5.99
Indonesia,10:39.0,5.99
Turkey,55:23.0,5.99
Brazil,27:09.0,5.99
Russian Federation,07:24.0,5.99
United States,16:33.0,5.99
Bahrain,22:40.0,5.99
Brazil,22:23.0,5.99
China,50:16.0,5.99
Moldova,52:15.0,5.99
Thailand,23:12.0,5.99
Latvia,24:03.0,5.99
India,05:35.0,5.99
Russian Federation,02:07.0,5.99
Turkmenistan,10:17.0,5.99
United States,37:18.0,5.99
Brazil,01:35.0,5.99
India,46:47.0,5.99
Indonesia,03:43.0,5.99
Bangladesh,57:52.0,5.99
Romania,15:35.0,5.99
French Polynesia,13:29.0,5.99
Venezuela,11:35.0,5.99
Tunisia,12:06.0,5.99
Peru,53:28.0,5.99
Armenia,29:21.0,5.99
Brazil,47:09.0,5.99
Switzerland,42:29.0,5.99
Mexico,23:56.0,5.99
Greenland,12:49.0,5.99
China,38:56.0,5.99
Mexico,03:29.0,5.99
Nepal,16:17.0,5.99
Moldova,04:38.0,5.99
French Polynesia,12:19.0,5.99
Zambia,30:27.0,5.99
Brazil,27:02.0,5.99
India,57:09.0,5.99
Russian Federation,10:05.0,5.99
Brazil,54:42.0,5.99
United Kingdom,15:04.0,5.99
Brazil,46:59.0,5.99
United States,41:26.0,5.99
Philippines,50:35.0,5.99
Nepal,24:41.0,5.99
India,19:12.0,5.99
India,33:16.0,5.99
Indonesia,34:35.0,5.99
India,26:16.0,5.99
Austria,26:51.0,5.99
Poland,57:10.0,5.99
Tanzania,50:53.0,5.99
Yemen,12:48.0,5.99
Netherlands,59:36.0,5.99
Pakistan,04:11.0,5.99
Indonesia,37:12.0,5.99
India,16:11.0,5.99
Estonia,28:16.0,5.99
Poland,11:30.0,5.99
Turkey,13:26.0,5.99
Poland,54:18.0,5.99
Nauru,27:25.0,5.99
Russian Federation,34:57.0,5.99
Brazil,41:36.0,5.99
United States,53:40.0,5.99
Israel,24:18.0,5.99
Mexico,16:32.0,5.99
Romania,32:56.0,5.99
Egypt,32:55.0,5.99
Brazil,58:08.0,5.99
India,41:34.0,5.99
Ukraine,18:33.0,5.99
China,11:55.0,5.99
Taiwan,59:44.0,5.99
South Africa,29:07.0,5.99
China,12:48.0,5.99
Philippines,33:35.0,5.99
Saudi Arabia,25:41.0,5.99
China,13:57.0,5.99
Yemen,30:11.0,5.99
North Korea,02:22.0,5.99
India,50:34.0,5.99
China,42:02.0,5.99
Romania,41:24.0,5.99
Colombia,16:59.0,5.99
Chad,12:40.0,5.99
Malawi,35:51.0,5.99
India,35:52.0,5.99
Brazil,06:58.0,5.99
Nigeria,44:37.0,5.99
Israel,23:13.0,5.99
Egypt,07:58.0,5.99
South Korea,30:36.0,5.99
Japan,39:38.0,5.99
India,04:20.0,5.99
India,35:39.0,5.99
Netherlands,31:15.0,5.99
United States,54:34.0,5.99
Brazil,21:48.0,5.99
Belarus,43:49.0,5.99
Japan,21:35.0,5.99
Canada,57:31.0,5.99
India,36:13.0,5.99
Indonesia,37:55.0,5.99
China,05:15.0,5.99
Mexico,39:20.0,5.99
Vietnam,46:35.0,5.99
India,17:56.0,5.99
Argentina,03:24.0,5.99
Nigeria,49:22.0,5.99
United States,51:14.0,5.99
India,41:51.0,5.99
Venezuela,24:09.0,5.99
Philippines,08:10.0,5.99
Mexico,57:27.0,5.99
Finland,00:40.0,5.99
China,04:38.0,5.99
Russian Federation,16:30.0,5.99
Pakistan,14:45.0,5.99
United States,10:55.0,5.99
South Africa,17:42.0,5.99
Japan,45:32.0,5.99
Malaysia,57:32.0,5.99
China,52:45.0,5.99
Pakistan,31:13.0,5.99
Myanmar,26:27.0,5.99
Saudi Arabia,40:29.0,5.99
India,11:13.0,5.99
United Kingdom,22:32.0,5.99
India,22:57.0,5.99
Kazakstan,10:43.0,5.99
Ukraine,10:25.0,5.99
China,06:37.0,5.99
China,06:49.0,5.99
China,13:23.0,5.99
Netherlands,39:04.0,5.99
Nigeria,34:17.0,5.99
Indonesia,33:56.0,5.99
Thailand,23:20.0,5.99
Cameroon,05:12.0,5.99
Japan,51:32.0,5.99
Brazil,21:48.0,5.99
Mexico,28:30.0,5.99
Germany,07:38.0,5.99
Argentina,51:03.0,5.99
China,46:49.0,5.99
Poland,25:33.0,5.99
Greenland,41:00.0,5.99
Brazil,11:45.0,5.99
Turkey,15:27.0,5.99
Belarus,18:59.0,5.99
Russian Federation,34:59.0,5.99
United States,28:46.0,5.99
Gambia,03:48.0,5.99
Mexico,03:27.0,5.99
Venezuela,01:02.0,5.99
Japan,54:12.0,5.99
India,26:04.0,5.99
Thailand,53:44.0,5.99
Indonesia,19:06.0,5.99
United States,02:01.0,5.99
Turkey,33:08.0,5.99
Kuwait,05:00.0,5.99
Tonga,03:07.0,5.99
China,27:22.0,5.99
Austria,44:35.0,5.99
Indonesia,28:06.0,5.99
United Arab Emirates,21:30.0,5.99
South Africa,41:04.0,5.99
Belarus,39:21.0,5.99
Latvia,17:39.0,5.99
India,50:14.0,5.99
Mexico,28:47.0,5.99
Nigeria,03:08.0,5.99
Venezuela,40:12.0,5.99
United States,26:56.0,5.99
United Arab Emirates,42:31.0,5.99
Mexico,35:00.0,5.99
Israel,00:44.0,5.99
Philippines,53:08.0,5.99
Canada,22:24.0,5.99
South Africa,26:56.0,5.99
India,48:52.0,5.99
Brazil,37:28.0,5.99
Cameroon,34:20.0,5.99
India,28:05.0,5.99
Tanzania,58:46.0,5.99
Gambia,25:56.0,5.99
Indonesia,32:24.0,5.99
Philippines,33:14.0,5.99
Japan,17:34.0,5.99
Ukraine,34:14.0,5.99
Mozambique,29:43.0,5.99
China,35:38.0,5.99
Netherlands,15:21.0,5.99
Italy,49:45.0,5.99
Japan,13:25.0,5.99
United States,47:36.0,5.99
India,51:56.0,5.99
India,22:08.0,5.99
Japan,58:19.0,5.99
Taiwan,14:11.0,5.99
Mexico,51:32.0,5.99
Argentina,15:56.0,5.99
Mexico,57:27.0,5.99
India,05:20.0,5.99
South Africa,27:30.0,5.99
Japan,58:15.0,5.99
Austria,44:33.0,5.99
Colombia,14:29.0,5.99
Germany,51:18.0,5.99
India,50:54.0,5.99
Philippines,45:47.0,5.99
Canada,15:24.0,5.99
Slovakia,29:44.0,5.99
India,49:38.0,5.99
United Kingdom,46:56.0,5.99
China,17:00.0,5.99
France,32:25.0,5.99
Nigeria,45:27.0,5.99
Mexico,03:57.0,5.99
India,08:10.0,5.99
Greenland,47:26.0,5.99
Philippines,03:18.0,5.99
China,52:58.0,5.99
Mexico,30:50.0,5.99
Brazil,04:00.0,5.99
Malaysia,40:40.0,5.99
"Congo, The Democratic Republic of the",47:46.0,5.99
Vietnam,16:23.0,5.99
Mexico,30:13.0,5.99
Cambodia,58:40.0,5.99
Mexico,29:34.0,5.99
Brazil,12:40.0,5.99
Japan,01:18.0,5.99
Mexico,32:36.0,5.99
Russian Federation,08:57.0,5.99
Russian Federation,20:12.0,5.99
Egypt,28:13.0,5.99
India,03:16.0,5.99
India,12:13.0,5.99
Taiwan,51:51.0,5.99
Brazil,35:53.0,5.99
India,20:10.0,5.99
Kazakstan,27:08.0,5.99
Mexico,44:27.0,5.99
United States,52:55.0,5.99
Japan,21:14.0,5.99
Japan,36:16.0,5.99
Dominican Republic,37:15.0,5.99
Argentina,31:00.0,5.99
Colombia,02:11.0,5.99
Ukraine,45:04.0,5.99
India,06:24.0,5.99
Japan,31:08.0,5.99
Russian Federation,42:10.0,5.99
Holy See (Vatican City State),22:57.0,5.99
Mexico,36:24.0,5.99
United States,22:36.0,5.99
Venezuela,37:17.0,5.99
Nigeria,31:56.0,5.99
South Africa,42:16.0,5.99
Netherlands,33:50.0,5.99
Brazil,43:33.0,5.99
Mexico,48:14.0,5.99
Israel,04:54.0,5.99
United States,05:17.0,5.99
India,31:24.0,5.99
South Korea,11:37.0,5.99
Switzerland,01:09.0,5.99
Brazil,45:04.0,5.99
Sweden,16:47.0,5.99
Malawi,25:58.0,5.99
Nigeria,42:19.0,5.99
Egypt,23:48.0,5.99
Mexico,03:00.0,5.99
South Africa,07:53.0,5.99
Yemen,04:40.0,5.99
Mexico,36:16.0,5.99
United States,03:26.0,5.99
India,14:00.0,5.99
Turkey,34:10.0,5.99
China,40:25.0,5.99
Germany,44:37.0,5.99
Philippines,22:54.0,5.99
Runion,22:28.0,5.99
India,41:43.0,5.99
French Guiana,55:28.0,5.99
United Kingdom,56:17.0,5.99
China,42:28.0,5.99
Greenland,45:38.0,5.99
Colombia,46:00.0,5.99
Mexico,19:50.0,5.99
Vietnam,21:17.0,5.99
Russian Federation,29:12.0,5.99
Poland,22:20.0,5.99
Russian Federation,41:27.0,5.99
United States,47:47.0,5.99
Brazil,54:48.0,5.99
Philippines,35:33.0,5.99
Spain,28:39.0,5.99
China,24:50.0,5.99
Argentina,21:05.0,5.99
United States,55:30.0,5.99
Thailand,39:52.0,5.99
Germany,34:31.0,5.99
United States,10:48.0,5.99
Philippines,34:33.0,5.99
Mexico,27:29.0,5.99
Mexico,50:42.0,5.99
Japan,30:39.0,5.99
Belarus,00:00.0,5.99
Japan,31:51.0,5.99
Algeria,36:06.0,5.99
Brazil,59:33.0,5.99
Spain,09:07.0,5.99
Philippines,36:15.0,5.99
Mozambique,08:31.0,5.99
Taiwan,56:34.0,5.99
Lithuania,53:22.0,5.99
Japan,39:30.0,5.99
France,05:43.0,5.99
Austria,23:01.0,5.99
Turkey,31:47.0,5.99
Venezuela,44:30.0,5.98
Indonesia,44:30.0,5.98
Thailand,44:30.0,5.98
Algeria,44:30.0,5.98
Tuvalu,09:55.0,4.99
United States,00:25.0,4.99
Russian Federation,05:22.0,4.99
Chad,53:36.0,4.99
North Korea,59:51.0,4.99
China,53:27.0,4.99
United Kingdom,04:10.0,4.99
Puerto Rico,22:07.0,4.99
China,55:36.0,4.99
Russian Federation,36:56.0,4.99
United States,14:24.0,4.99
"Congo, The Democratic Republic of the",50:57.0,4.99
South Africa,31:41.0,4.99
United States,19:20.0,4.99
Myanmar,56:28.0,4.99
Vietnam,08:50.0,4.99
Israel,28:59.0,4.99
Japan,41:59.0,4.99
Colombia,46:40.0,4.99
Dominican Republic,03:12.0,4.99
Brunei,22:21.0,4.99
United States,54:58.0,4.99
China,24:49.0,4.99
Vietnam,08:17.0,4.99
Venezuela,59:33.0,4.99
Bangladesh,10:59.0,4.99
Philippines,54:13.0,4.99
Sweden,30:19.0,4.99
Israel,49:17.0,4.99
Germany,43:53.0,4.99
India,48:04.0,4.99
Nigeria,40:41.0,4.99
Mexico,28:49.0,4.99
Brazil,37:53.0,4.99
China,31:42.0,4.99
Philippines,33:59.0,4.99
India,59:52.0,4.99
Japan,51:22.0,4.99
Egypt,05:53.0,4.99
China,14:22.0,4.99
India,40:45.0,4.99
Japan,20:48.0,4.99
China,00:56.0,4.99
Mexico,42:15.0,4.99
Spain,34:18.0,4.99
United States,16:55.0,4.99
Pakistan,20:21.0,4.99
Bangladesh,56:15.0,4.99
Japan,31:37.0,4.99
Iran,10:48.0,4.99
Dominican Republic,45:22.0,4.99
France,18:13.0,4.99
Colombia,03:53.0,4.99
Brazil,13:10.0,4.99
Indonesia,17:14.0,4.99
Mozambique,32:12.0,4.99
Saudi Arabia,35:45.0,4.99
Germany,58:58.0,4.99
Egypt,54:42.0,4.99
India,46:47.0,4.99
Japan,57:23.0,4.99
"Congo, The Democratic Republic of the",46:43.0,4.99
Brazil,32:59.0,4.99
Kuwait,41:07.0,4.99
Japan,26:12.0,4.99
United Arab Emirates,09:22.0,4.99
Indonesia,32:20.0,4.99
Brazil,42:17.0,4.99
Turkey,16:03.0,4.99
Nigeria,27:09.0,4.99
Sudan,15:20.0,4.99
Ukraine,33:32.0,4.99
Philippines,27:07.0,4.99
United States,51:12.0,4.99
Japan,19:29.0,4.99
India,29:29.0,4.99
Japan,00:48.0,4.99
Tonga,36:28.0,4.99
China,30:40.0,4.99
Italy,12:21.0,4.99
Vietnam,23:43.0,4.99
Madagascar,49:08.0,4.99
Moldova,29:18.0,4.99
United Arab Emirates,53:30.0,4.99
China,41:21.0,4.99
United Kingdom,32:22.0,4.99
China,34:45.0,4.99
Germany,02:06.0,4.99
Philippines,48:36.0,4.99
France,25:05.0,4.99
Japan,28:58.0,4.99
Algeria,14:41.0,4.99
Nigeria,20:07.0,4.99
India,37:03.0,4.99
Ukraine,12:53.0,4.99
China,28:03.0,4.99
Russian Federation,04:42.0,4.99
Mozambique,47:45.0,4.99
South Korea,35:19.0,4.99
China,22:14.0,4.99
China,28:20.0,4.99
Peru,27:42.0,4.99
Indonesia,57:43.0,4.99
Spain,06:58.0,4.99
Bulgaria,54:19.0,4.99
Colombia,18:09.0,4.99
Russian Federation,15:25.0,4.99
Argentina,51:26.0,4.99
Yugoslavia,26:52.0,4.99
Taiwan,43:48.0,4.99
Japan,23:41.0,4.99
Yemen,00:50.0,4.99
Brazil,32:54.0,4.99
Yugoslavia,16:05.0,4.99
Netherlands,23:48.0,4.99
Philippines,06:43.0,4.99
Brazil,49:42.0,4.99
Oman,17:25.0,4.99
Canada,38:58.0,4.99
United States,11:09.0,4.99
United States,53:27.0,4.99
China,49:08.0,4.99
Peru,02:38.0,4.99
India,17:31.0,4.99
United States,48:28.0,4.99
Brazil,58:06.0,4.99
Brazil,07:10.0,4.99
India,23:02.0,4.99
China,46:35.0,4.99
France,53:35.0,4.99
Brazil,56:42.0,4.99
Nigeria,32:03.0,4.99
India,50:47.0,4.99
India,53:27.0,4.99
Italy,21:33.0,4.99
Azerbaijan,11:32.0,4.99
Peru,45:19.0,4.99
Germany,36:06.0,4.99
Mexico,28:40.0,4.99
Nigeria,16:59.0,4.99
Netherlands,26:10.0,4.99
China,59:04.0,4.99
Philippines,44:03.0,4.99
India,30:46.0,4.99
Taiwan,36:57.0,4.99
India,10:44.0,4.99
France,10:20.0,4.99
Argentina,05:55.0,4.99
Spain,10:35.0,4.99
Taiwan,24:57.0,4.99
Russian Federation,35:40.0,4.99
Iran,47:27.0,4.99
Argentina,40:13.0,4.99
Turkey,17:30.0,4.99
United States,01:08.0,4.99
Mexico,17:12.0,4.99
Philippines,38:53.0,4.99
United States,18:44.0,4.99
Puerto Rico,25:20.0,4.99
Russian Federation,52:49.0,4.99
South Korea,36:02.0,4.99
India,42:23.0,4.99
Iran,06:34.0,4.99
India,28:19.0,4.99
American Samoa,09:05.0,4.99
Canada,23:47.0,4.99
Bangladesh,48:53.0,4.99
Zambia,18:13.0,4.99
Argentina,50:06.0,4.99
Philippines,31:56.0,4.99
Turkmenistan,38:38.0,4.99
Indonesia,02:13.0,4.99
Kenya,05:40.0,4.99
Tuvalu,52:54.0,4.99
Switzerland,26:52.0,4.99
United Arab Emirates,00:00.0,4.99
China,41:27.0,4.99
Zambia,13:10.0,4.99
Tanzania,24:00.0,4.99
China,25:21.0,4.99
South Africa,05:22.0,4.99
South Korea,40:15.0,4.99
Japan,41:04.0,4.99
South Africa,28:43.0,4.99
India,01:06.0,4.99
South Africa,50:02.0,4.99
Russian Federation,58:07.0,4.99
Bangladesh,20:42.0,4.99
Myanmar,03:54.0,4.99
Japan,41:29.0,4.99
Thailand,19:18.0,4.99
Turkey,06:39.0,4.99
Israel,26:17.0,4.99
Nigeria,17:48.0,4.99
Germany,27:03.0,4.99
Yemen,19:07.0,4.99
South Africa,26:33.0,4.99
Chile,35:37.0,4.99
India,33:33.0,4.99
Russian Federation,28:27.0,4.99
France,19:23.0,4.99
China,12:50.0,4.99
India,16:21.0,4.99
Venezuela,08:31.0,4.99
United States,34:03.0,4.99
Venezuela,37:15.0,4.99
Bangladesh,13:09.0,4.99
Philippines,04:37.0,4.99
Greece,45:35.0,4.99
Japan,50:52.0,4.99
United States,00:12.0,4.99
Russian Federation,32:27.0,4.99
India,49:44.0,4.99
Belarus,40:19.0,4.99
Chile,53:50.0,4.99
Czech Republic,02:36.0,4.99
Morocco,58:26.0,4.99
Turkey,44:14.0,4.99
Argentina,59:15.0,4.99
Brazil,49:59.0,4.99
Saudi Arabia,16:41.0,4.99
Brazil,04:59.0,4.99
United States,38:52.0,4.99
Russian Federation,39:41.0,4.99
United Arab Emirates,36:49.0,4.99
Brazil,36:10.0,4.99
China,11:27.0,4.99
Poland,45:53.0,4.99
India,38:43.0,4.99
Brazil,04:32.0,4.99
Spain,22:11.0,4.99
Mexico,06:49.0,4.99
Tonga,24:35.0,4.99
United Kingdom,38:04.0,4.99
Philippines,51:11.0,4.99
Thailand,44:50.0,4.99
United States,42:22.0,4.99
Philippines,29:04.0,4.99
Peru,51:07.0,4.99
Japan,19:31.0,4.99
Indonesia,28:29.0,4.99
Yemen,07:56.0,4.99
Cambodia,23:40.0,4.99
China,34:20.0,4.99
United States,33:33.0,4.99
Netherlands,15:04.0,4.99
Russian Federation,03:07.0,4.99
United States,21:35.0,4.99
Mexico,19:59.0,4.99
United States,07:09.0,4.99
Turkey,53:39.0,4.99
Vietnam,08:08.0,4.99
Argentina,00:07.0,4.99
Thailand,18:33.0,4.99
Brazil,21:08.0,4.99
United States,24:10.0,4.99
Turkey,17:18.0,4.99
South Korea,26:43.0,4.99
India,25:42.0,4.99
Russian Federation,15:25.0,4.99
Poland,33:43.0,4.99
United States,25:20.0,4.99
India,28:20.0,4.99
Brazil,57:49.0,4.99
Bangladesh,35:50.0,4.99
China,17:21.0,4.99
Poland,54:26.0,4.99
Netherlands,15:30.0,4.99
United Kingdom,39:09.0,4.99
China,06:52.0,4.99
United Kingdom,26:20.0,4.99
India,59:29.0,4.99
Turkey,51:18.0,4.99
Japan,01:54.0,4.99
China,09:35.0,4.99
Japan,12:41.0,4.99
United States,04:56.0,4.99
Venezuela,34:50.0,4.99
Indonesia,38:23.0,4.99
Russian Federation,16:30.0,4.99
United States,34:32.0,4.99
Germany,51:38.0,4.99
United Kingdom,13:46.0,4.99
Nigeria,55:16.0,4.99
Madagascar,56:45.0,4.99
Switzerland,05:55.0,4.99
India,16:51.0,4.99
France,40:19.0,4.99
Dominican Republic,05:16.0,4.99
China,56:20.0,4.99
Philippines,05:01.0,4.99
Japan,11:49.0,4.99
China,23:00.0,4.99
Egypt,36:57.0,4.99
Egypt,15:05.0,4.99
Mexico,04:39.0,4.99
Germany,53:08.0,4.99
Liechtenstein,55:40.0,4.99
Taiwan,50:28.0,4.99
Mexico,52:41.0,4.99
Turkey,26:40.0,4.99
Switzerland,37:52.0,4.99
Iran,50:51.0,4.99
India,01:19.0,4.99
India,30:08.0,4.99
Mexico,02:08.0,4.99
India,33:33.0,4.99
Yemen,18:46.0,4.99
Bolivia,38:29.0,4.99
Iran,11:07.0,4.99
Argentina,27:46.0,4.99
Nauru,02:59.0,4.99
Romania,45:27.0,4.99
Nauru,07:13.0,4.99
Zambia,38:09.0,4.99
Paraguay,34:16.0,4.99
Estonia,42:41.0,4.99
Mexico,54:48.0,4.99
Canada,02:41.0,4.99
Philippines,22:59.0,4.99
Nigeria,15:37.0,4.99
United States,48:39.0,4.99
Vietnam,29:44.0,4.99
South Africa,42:18.0,4.99
Russian Federation,55:41.0,4.99
French Polynesia,47:48.0,4.99
Angola,08:10.0,4.99
Dominican Republic,24:45.0,4.99
Japan,10:26.0,4.99
Indonesia,46:18.0,4.99
Thailand,53:43.0,4.99
Philippines,36:07.0,4.99
China,07:06.0,4.99
Colombia,58:04.0,4.99
United States,13:38.0,4.99
Egypt,05:48.0,4.99
Indonesia,35:03.0,4.99
China,34:53.0,4.99
India,25:38.0,4.99
Iran,02:21.0,4.99
Runion,06:25.0,4.99
Bahrain,24:28.0,4.99
Saudi Arabia,55:00.0,4.99
China,51:08.0,4.99
Chile,10:24.0,4.99
Egypt,11:26.0,4.99
Tunisia,12:16.0,4.99
South Africa,31:58.0,4.99
Indonesia,55:42.0,4.99
South Korea,57:45.0,4.99
Mexico,13:20.0,4.99
Greece,41:02.0,4.99
Russian Federation,38:58.0,4.99
Yemen,24:19.0,4.99
Algeria,44:30.0,4.99
Yemen,59:21.0,4.99
India,51:27.0,4.99
Czech Republic,09:36.0,4.99
India,34:55.0,4.99
South Africa,15:18.0,4.99
Japan,19:55.0,4.99
India,47:06.0,4.99
Russian Federation,44:05.0,4.99
China,36:06.0,4.99
United Kingdom,22:27.0,4.99
Pakistan,54:59.0,4.99
Philippines,33:39.0,4.99
Philippines,59:38.0,4.99
India,27:15.0,4.99
Mexico,11:34.0,4.99
Taiwan,09:52.0,4.99
Russian Federation,54:49.0,4.99
United Kingdom,35:45.0,4.99
Venezuela,21:42.0,4.99
Mozambique,27:35.0,4.99
Mozambique,00:27.0,4.99
Vietnam,17:28.0,4.99
Zambia,49:46.0,4.99
China,17:24.0,4.99
Nigeria,26:57.0,4.99
Chile,09:02.0,4.99
Saudi Arabia,42:19.0,4.99
Mexico,13:43.0,4.99
Poland,12:56.0,4.99
United States,09:19.0,4.99
India,42:25.0,4.99
Argentina,29:14.0,4.99
Mexico,32:57.0,4.99
Austria,41:40.0,4.99
Nigeria,28:55.0,4.99
Italy,16:42.0,4.99
Turkey,40:33.0,4.99
Brazil,02:53.0,4.99
Chile,13:11.0,4.99
India,47:26.0,4.99
Sudan,26:54.0,4.99
Venezuela,47:17.0,4.99
Dominican Republic,28:39.0,4.99
